gene_symbol,log2FoldChange,lfcSE,padj,context
UTP18,-1.3679489599753376,0.463713505723366,0.0080134902530962,GSE278320 VacV
RNF216,-0.5849029768647251,0.1601191109195262,0.000869418141495,GSE278320 VacV
TTC19,-1.305908364845331,0.1775056670613535,3.542635542896209e-12,GSE278320 VacV
PTBP1,-0.8297482722199532,0.3316662572985983,0.0266197948356743,GSE278320 VacV
DPF1,0.4246899234758864,0.2774916752085744,0.1987796532353224,GSE278320 VacV
SYT7,0.2456836888694039,1.1689652404794295,0.886931105525736,GSE278320 VacV
LARS2,-0.9678832488781076,0.2345727850016067,0.0001537711607249,GSE278320 VacV
PIK3C2A,0.8883420588384228,0.3943785354241523,0.048051212831458,GSE278320 VacV
PLAUR,0.5688122862495338,0.4281902795743775,0.272614141187796,GSE278320 VacV
ANLN,0.5558062526266601,0.158979951433581,0.0014753037281818,GSE278320 VacV
WIZ,-1.5623932520152104,0.3513949477428092,4.2050296649947254e-05,GSE278320 VacV
RABGAP1,-0.4308584430018687,0.26592997740064,0.170521934632654,GSE278320 VacV
DCN,2.893554232378594,2.2196623053584004,0.2827401778393231,GSE278320 VacV
QPCTL,-1.6938502505640722,0.3802597050303187,4.057405082080255e-05,GSE278320 VacV
PPP5C,-0.9671106006842176,0.1811045292168553,6.774986871751462e-07,GSE278320 VacV
CEP68,-1.2060646729544482,0.2160910539234306,1.9293239644054187e-07,GSE278320 VacV
MAP4K3,0.159264578364098,0.2038352459886545,0.5476159762503519,GSE278320 VacV
LDAF1,-0.6837213631426416,0.2423592989753408,0.0114853673714873,GSE278320 VacV
BRCA1,-0.7455530033062417,0.2566446286333825,0.0090865053949393,GSE278320 VacV
ERCC1,-0.0060303755875076,0.2203112106378952,0.9852553616469786,GSE278320 VacV
SEMA3B,2.0983909345890015,0.452651007969728,1.878747234743564e-05,GSE278320 VacV
MBTPS2,-1.76472815909858,0.2552474855828245,7.191739199097356e-11,GSE278320 VacV
PRICKLE3,-1.8171214809379863,0.3268918261493065,2.177462013529863e-07,GSE278320 VacV
EXTL3,-1.3462177565448934,0.2495657904375449,5.143378714306714e-07,GSE278320 VacV
ELOVL5,-0.3366381634824093,0.1735682587327759,0.0934691370492373,GSE278320 VacV
ALOX5,1.377538159510417,0.5145861257731523,0.016965775039055,GSE278320 VacV
